127.0.0.1 - - [23/Mar/2022:18:20:34 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:20:37 +0530] "GET /springmvc/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:21:34 +0530] "GET /springmvc/hello HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:21:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:21:39 +0530] "GET /springmvc/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:21:53 +0530] "GET /springmvc/hello HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:22:58 +0530] "GET /springmvc/hello HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:23:17 +0530] "GET /springmvc/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:25:26 +0530] "GET /springmvc/hello HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [23/Mar/2022:18:25:43 +0530] "GET /springmvc/hello HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [23/Mar/2022:21:54:12 +0530] "GET /springmvc/hello HTTP/1.1" 200 158
